,msg,count
982,中國還,1
983,中國部份,1
984,中國重新,1
985,中國錯,1
986,中國門,2
987,中國間諜經,2
988,中國陰風陣陣,1
989,中國陸,6
990,中國陸買,1
991,中國隊,1
992,中國難,1
993,中國零件,10
994,中國電,3
995,中國領,2
996,中國頸,1
997,中國食物,1
998,中國香港,5
999,中國骨,1
1000,中國鬥,1
1001,中國魚,5
1002,中國麼,1
1003,中坑,1
1004,中外,1
1005,中大部,2
1006,中央下令,1
1007,中央人民,1
1008,中央嘅,1
1009,中央知道,1
1010,中央話,1
1011,中字典,3
1012,中宮,1
1013,中左,9
1014,中左伏,1
1015,中巴士,2
1016,中平,1
1017,中年大叔,1
1018,中後,2
1019,中心俾,2
1020,中心冇,2
1021,中心睇,1
1022,中心處,1
1023,中心電,1
1024,中快,1
1025,中情,1
1026,中情人,2
1027,中情局知道,1
1028,中情局竊,1
1029,中情局蘋,1
1030,中意中意,1
1031,中意佢,2
1032,中意做,1
1033,中意入耳,72
1034,中意分期,1
1035,中意制,1
1036,中意劇情,1
1037,中意加速,1
1038,中意喜,2
1039,中意嘅,4
1040,中意回,1
1041,中意女仔,4
1042,中意字,1
1043,中意扮,2
1044,中意日本,2
1045,中意時,2
1046,中意景,2
1047,中意暖色,1
1048,中意月,1
1049,中意未,1
1050,中意歌,1
1051,中意消息,1
1052,中意煮,2
1053,中意玩,2
1054,中意甘,1
1055,中意發,2
1056,中意睇,2
1057,中意系,1
1058,中意紅,1
1059,中意聽,2
1060,中意苹果,1
1061,中意華,1
1062,中意著,2
1063,中意貨,2
1064,中意邊,1
1065,中意錢,1
1066,中意食,3
1067,中意體,2
1068,中意魔物,1
1069,中抽,1
1070,中招,3
1071,中招兄,1
1072,中捉,1
1073,中推,1
1074,中整合,1
1075,中數,1
1076,中文一向,1
1077,中文係,1
1078,中文姐,1
1079,中文字,4
1080,中文打字,2
1081,中文科,1
1082,中文網,1
1083,中文英文版,1
1084,中方便,72
1085,中方可能,1
1086,中方會,1
1087,中方監,1
1088,中晒,1
1089,中暴徒,1
1090,中最先,2
1091,中最好,3
1092,中會,2
1093,中期選,4
1094,中未,1
1095,中框,1
1096,中楷,1
1097,中正,2
1098,中正常,1
1099,中段休息,1
1100,中毒,1
1101,中毒太深,1
1102,中毒容易,1
1103,中法,1
1104,中混合,1
1105,中清,1
1106,中港两边,1
1107,中港佬,1
1108,中港數,3
1109,中港澳,18
1110,中港股,1
1111,中港邊,1
1112,中版,1
1113,中玩家,1
1114,中生,2
1115,中生活,2
1116,中產,2
1117,中用閃,2
1118,中發,2
1119,中的們,3
1120,中的天使,1
1121,中的萬,2
1122,中的資,1
1123,中的麻,1
1124,中看到,1
1125,中石板街,1
1126,中碼,1
1127,中移,144
1128,中移动,1
1129,中移職員,1
1130,中竊,1
1131,中端高端,1
1132,中紅,1
1133,中細,72
1134,中美两边,1
1135,中美徵,1
1136,中美戰,1
1137,中美貿,7
1138,中美關,1
1139,中美關系,1
1140,中耐,2
1141,中联通,1
1142,中聯,1
1143,中肉,3
1144,中肯,1
1145,中肯係,1
1146,中興,22
1147,中興華,1
1148,中興貨,1
1149,中苦,2
1150,中英文版,1
1151,中華,20
1152,中華人,2
1153,中華約,1
1154,中藥,2
1155,中蚊,1
1156,中蟈,1
1157,中訂,1
1158,中計,2
1159,中記,1
1160,中試,18
1161,中話,5
1162,中語,1
1163,中諗藍,1
1164,中貴,1
1165,中買,1
1166,中賣,1
1167,中身份,1
1168,中輕,1
1169,中轉,1
1170,中返工,1
1171,中途充,2
1172,中途終,1
1173,中途連絡,1
1174,中遇事,1
1175,中運,1
1176,中部面,1
1177,中都去,2
1178,中酒,2
1179,中銀,70
1180,中銀紀,1
1181,中鏢,2
1182,中門,1
1183,中開始,2
1184,中間,14
1185,中關,1
1186,中階,1
1187,中隻,1
1188,中電,1
1189,中頭,2
1190,中食,8
1191,中香,1
1192,中香港,1
1193,中高音,72
1194,中ｄ,4
1195,丶會,1
1196,丶油,2
1197,丶特別,1
1198,丶知,1
1199,丶習,1
1200,丶萬,1
1201,丶財,1
1202,丶車,2
1203,丶銀,1
1204,丸丸,2
1205,丸俾,2
1206,主之前,1
1207,主乜,1
1208,主人朗普,1
1209,主介,2
1210,主令,1
1211,主仲有,1
1212,主似,1
1213,主你好,1
1214,主來,1
1215,主係,13
1216,主俾,1
1217,主先,3
1218,主內,1
1219,主冇,2
1220,主再送,1
1221,主出,1
1222,主出口,1
1223,主分享,1
1224,主列出,1
1225,主力係,1
1226,主力机型,1
1227,主力睇,1
1228,主力系,2
1229,主力集中,1
1230,主力雙鏡頭,1
1231,主力頡,1
1232,主卡,19
1233,主卡通,1
1234,主卻,1
1235,主咪,3
1236,主問,1
1237,主嘅,4
1238,主因可能,1
1239,主因太高,1
1240,主因缺水,1
1241,主垃圾,1
1242,主埋,1
1243,主大人,1
1244,主太,1
1245,主好似,2
1246,主好彩,1
1247,主子糜,2
1248,主子表,1
1249,主宰世界,2
1250,主尋求,1
1251,主少,1
1252,主左,2
1253,主差,1
1254,主已有,2
1255,主帖,1
1256,主帝,1
1257,主席估,1
1258,主席好朋友,1
1259,主席華,2
1260,主幫,2
1261,主平,1
1262,主建,1
1263,主引用,1
1264,主張,1
1265,主後,1
1266,主快,1
1267,主恭喜,1
1268,主想,4
1269,主意選,1
1270,主感,1
1271,主打唱歌,2
1272,主打大帝,1
1273,主打算,1
1274,主找,1
1275,主捉,1
1276,主捉住,1
1277,主推,1
1278,主收,1
1279,主改,1
1280,主數,1
1281,主既有,1
1282,主早,1
1283,主明顯,1
1284,主易,1
1285,主晒,1
1286,主會,4
1287,主有心,1
1288,主有用,1
1289,主有趣,1
1290,主未能,1
1291,主果,1
1292,主果粉,1
1293,主栽,1
1294,主正,2
1295,主死,1
1296,主水,2
1297,主消息,1
1298,主灰,1
1299,主王,1
1300,主留言,1
1301,主登,1
1302,主發現,1
1303,主直接,1
1304,主相反,1
1305,主真,6
1306,主真心,1
1307,主知,2
1308,主站,1
1309,主管冇,2
1310,主節目,2
1311,主精神,1
1312,主系,1
1313,主約,1
1314,主終,2
1315,主經,1
1316,主網,1
1317,主緊邊,1
1318,主練,1
1319,主義,13
1320,主義頭,1
1321,主考,1
1322,主考建,1
1323,主耐,1
1324,主萬,1
1325,主見,3
1326,主覺得,2
1327,主觀,1
1328,主角來,1
1329,主角係,2
1330,主角坐,2
1331,主角神木,2
1332,主角聲鈴聲,1
1333,主試試,2
1334,主話,4
1335,主認,1
1336,主說,1
1337,主講,6
1338,主講緊,1
1339,主識,3
1340,主資訊,1
1341,主送,2
1342,主連,1
1343,主遊,2
1344,主運,1
1345,主道理,1
1346,主邊,1
1347,主都得,1
1348,主都成,1
1349,主都有,1
1350,主都未,1
1351,主銀紙買,1
1352,主錢,2
1353,主鎖,1
1354,主鏡頭,1
1355,主鐘意,1
1356,主開,1
1357,主面,4
1358,主面的,1
1359,主頁,1
1360,主題,22
1361,主顧,2
1362,主食,1
1363,主食錯,2
1364,主香,1
1365,主香港,4
1366,主體,2
1367,主體離,2
1368,主高潮,1
1369,久久,1
1370,久旱逢,4
1371,久經,1
1372,久雙,1
1373,久養,1
1374,久麻,1
1375,义充电器,1
1376,义電,2
1377,之下係,1
1378,之下這,2
1379,之中強,1
1380,之中後,3
1381,之中跑,2
1382,之前三叔,5
1383,之前三星,5
1384,之前中,1
1385,之前代都,1
1386,之前仲,1
1387,之前估,1
1388,之前住,1
1389,之前來,1
1390,之前係,22
1391,之前個人,1
1392,之前做,1
1393,之前兄,1
1394,之前先,6
1395,之前冇,2
1396,之前出,4
1397,之前分析,1
1398,之前加,1
1399,之前取消,1
1400,之前同事,2
1401,之前吹,1
1402,之前咪,1
1403,之前嘅,4
1404,之前四格,1
1405,之前女人,1
1406,之前安,1
1407,之前完全,2
1408,之前小米,2
1409,之前左,1
1410,之前已經,40
1411,之前巳,1
1412,之前店,1
1413,之前想,1
1414,之前手机,1
1415,之前拆,1
1416,之前拎,2
1417,之前指,1
1418,之前日出,1
1419,之前時,1
1420,之前期望,1
1421,之前机,1
1422,之前果,1
1423,之前果部,1
1424,之前根本,1
1425,之前每次,1
1426,之前沒有,1
1427,之前深水埗,1
1428,之前爆,1
1429,之前玩,1
1430,之前甘,1
1431,之前用到,1
1432,之前田大少,1
1433,之前留意,1
1434,之前登,2
1435,之前盲,1
1436,之前真,2
1437,之前睇,3
1438,之前系,1
1439,之前系列,1
1440,之前網友,1
1441,之前網見,1
1442,之前續約,1
1443,之前落,1
1444,之前藍,1
1445,之前衛,1
1446,之前衝,1
1447,之前見,2
1448,之前覺得,1
1449,之前訂,1
1450,之前試,3
1451,之前話,6
1452,之前認,1
1453,之前諗,1
1454,之前講,3
1455,之前貨,1
1456,之前買,1
1457,之前貼,1
1458,之前載,1
1459,之前轉,1
1460,之前都好累,2
1461,之前都少,1
1462,之前都想,2
1463,之前都知,1
1464,之前都米,1
1465,之前重新,1
1466,之前錯,1
1467,之前閉,1
1468,之前開,2
1469,之前間,1
1470,之前雷蛇,1
1471,之前電,1
1472,之前預,1
1473,之前體,1
1474,之后先,1
1475,之后再,1
1476,之外係,1
1477,之外冇,1
1478,之外想,1
1479,之外挑剔,1
1480,之外穩,1
1481,之外配置,1
1482,之父係,1
1483,之間取,1
1484,之間問,1
1485,之間時,1
1486,之間相,3
1487,之間買,1
1488,乖乖,2
1489,乖乖張,1
1490,乖乖舒服,2
1491,乖仔,1
1492,乖香港,1
1493,乘座質,1
1494,乜一炮,1
1495,乜世界,1
1496,乜中意,1
1497,乜中文,1
1498,乜乜,8
1499,乜事,13
1500,乜仔,1
1501,乜仲,2
1502,乜位置,2
1503,乜住,1
1504,乜作用,1
1505,乜佢,2
1506,乜係,20
1507,乜做,2
1508,乜入,2
1509,乜全有,1
1510,乜公平,1
1511,乜冇,6
1512,乜出,1
1513,乜出奇,1
1514,乜別,87
1515,乜功能,1
1516,乜加,1
1517,乜包容,1
1518,乜印象,2
1519,乜卵,1
1520,乜原因,3
1521,乜叉,2
1522,乜叛,1
1523,乜叫做,1
1524,乜可能,2
1525,乜吖,1
1526,乜吵,2
1527,乜吸引,2
1528,乜吸引力,2
1529,乜哂,1
1530,乜哋,1
1531,乜問,16
1532,乜嘅,2
1533,乜嘈,2
1534,乜回收,1
1535,乜太大,1
1536,乜失,3
1537,乜失真,1
1538,乜奶,2
1539,乜好笑,1
1540,乜宜家,1
1541,乜客,1
1542,乜屌,1
1543,乜巧,1
1544,乜差池,1
